Pin Num,Pin Name,IO Type,IOGroup,PowerDomain,IO_cfg_register,"Function_select
_register","fmux_
default",Description,Note
16,UART0_RX,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_UART0_RX
0x0300_1910","FMUX_GPIO_REG_IOCTRL_UART0_RX
0x0300_1028",0x0,"IO UART0_RX function select : 
    0 : UART0_RX (default)
    1 : CAM_MCLK0 
    2 : PWM[5] 
    3 : XGPIOA[17] 
    4 : UART1_RX 
    5 : AUX0 
    6 : JTAG_TCK 
    7 : DBG[7] 
    Others : Reserved",
17,SPINOR_HOLD_X,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SPINOR_HOLD_X
0x0300_1914","FMUX_GPIO_REG_IOCTRL_SPINOR_HOLD_X
0x0300_102c",0x1,"IO SPINOR_HOLD_X function select : 
    1 : SPINOR_HOLD_X (default)
    2 : SPINAND_HOLD 
    3 : XGPIOA[26] 
    Others : Reserved",
18,SPINOR_SCK,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SPINOR_SCK
0x0300_1918","FMUX_GPIO_REG_IOCTRL_SPINOR_SCK
0x0300_1030",0x1,"IO SPINOR_SCK function select : 
    1 : SPINOR_SCK (default)
    2 : SPINAND_CLK 
    3 : XGPIOA[22] 
    Others : Reserved",
19,SPINOR_MOSI,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SPINOR_MOSI
0x0300_191c","FMUX_GPIO_REG_IOCTRL_SPINOR_MOSI
0x0300_1034",0x1,"IO SPINOR_MOSI function select : 
    1 : SPINOR_MOSI (default)
    2 : SPINAND_MOSI 
    3 : XGPIOA[25] 
    Others : Reserved",
20,SPINOR_WP_X,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SPINOR_WP_X
0x0300_1920","FMUX_GPIO_REG_IOCTRL_SPINOR_WP_X
0x0300_1038",0x1,"IO SPINOR_WP_X function select : 
    1 : SPINOR_WP_X (default)
    2 : SPINAND_WP 
    3 : XGPIOA[27] 
    Others : Reserved",
21,SPINOR_MISO,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SPINOR_MISO
0x0300_1924","FMUX_GPIO_REG_IOCTRL_SPINOR_MISO
0x0300_103c",0x1,"IO SPINOR_MISO function select : 
    1 : SPINOR_MISO (default)
    2 : SPINAND_MISO 
    3 : XGPIOA[23] 
    Others : Reserved",
22,SPINOR_CS_X,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SPINOR_CS_X
0x0300_1928","FMUX_GPIO_REG_IOCTRL_SPINOR_CS_X
0x0300_1040",0x1,"IO SPINOR_CS_X function select : 
    1 : SPINOR_CS_X (default)
    2 : SPINAND_CS 
    3 : XGPIOA[24] 
    Others : Reserved",
23,IIC0_SCL,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_IIC0_SCL
0x0300_1934","FMUX_GPIO_REG_IOCTRL_IIC0_SCL
0x0300_104c",0x0,"IO IIC0_SCL function select : 
    0 : JTAG_TDI (default)
    1 : UART1_TX 
    2 : UART2_TX 
    3 : XGPIOA[28] 
    4 : IIC0_SCL 
    5 : WG0_D0 
    7 : DBG[10] 
    Others : Reserved",
24,IIC0_SDA,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_IIC0_SDA
0x0300_1938","FMUX_GPIO_REG_IOCTRL_IIC0_SDA
0x0300_1050",0x0,"IO IIC0_SDA function select : 
    0 : JTAG_TDO (default)
    1 : UART1_RX 
    2 : UART2_RX 
    3 : XGPIOA[29] 
    4 : IIC0_SDA 
    5 : WG0_D1 
    6 : WG1_D0 
    7 : DBG[11] 
    Others : Reserved",
25,AUX0,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_AUX0
0x0300_193c","FMUX_GPIO_REG_IOCTRL_AUX0
0x0300_1054",0x3,"IO AUX0 function select : 
    0 : AUX0 
    3 : XGPIOA[30] (default)
    4 : IIS1_MCLK 
    6 : WG1_D1 
    7 : DBG[12] 
    Others : Reserved",
30,PWR_VBAT_DET,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_VBAT_DET
0x0502_7004","FMUX_GPIO_REG_IOCTRL_PWR_VBAT_DET
0x0300_105c",0x0,"IO PWR_VBAT_DET function select : 
    0 : PWR_VBAT_DET (default)
    Others : Reserved",
31,PWR_SEQ2,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_SEQ2
0x0502_7010","FMUX_GPIO_REG_IOCTRL_PWR_SEQ2
0x0300_1068",0x0,"IO PWR_SEQ2 function select : 
    0 : PWR_SEQ2 (default)
    3 : PWR_GPIO[4] 
    Others : Reserved",
33,XTAL_XIN,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_XTAL_XIN
0x0502_7020","FMUX_GPIO_REG_IOCTRL_XTAL_XIN
0x0300_1074",0x0,"IO XTAL_XIN function select : 
    0 : PWR_XTAL_CLKIN (default)
    Others : Reserved",
36,SD1_GPIO1,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_GPIO1
0x0502_7030","FMUX_GPIO_REG_IOCTRL_SD1_GPIO1
0x0300_1084",0x3,"IO SD1_GPIO1 function select : 
    1 : UART4_TX 
    3 : PWR_GPIO[26] (default)
    7 : PWM[10] 
    Others : Reserved",
35,SD1_GPIO0,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_GPIO0
0x0502_7034","FMUX_GPIO_REG_IOCTRL_SD1_GPIO0
0x0300_1088",0x3,"IO SD1_GPIO0 function select : 
    1 : UART4_RX 
    3 : PWR_GPIO[25] (default)
    7 : PWM[11] 
    Others : Reserved",
38,SD1_D3,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_D3
0x0502_7038","FMUX_GPIO_REG_IOCTRL_SD1_D3
0x0300_108c",0x6,"IO SD1_D3 function select : 
    0 : PWR_SD1_D3 
    1 : SPI2_CS_X 
    2 : IIC1_SCL 
    3 : PWR_GPIO[18] 
    4 : CAM_MCLK0 
    5 : UART3_CTS 
    6 : PWR_SPINOR1_CS_X (default)
    7 : PWM[4] 
    Others : Reserved",
39,SD1_D2,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_D2
0x0502_703c","FMUX_GPIO_REG_IOCTRL_SD1_D2
0x0300_1090",0x6,"IO SD1_D2 function select : 
    0 : PWR_SD1_D2 
    1 : IIC1_SCL 
    2 : UART2_TX 
    3 : PWR_GPIO[19] 
    4 : CAM_MCLK0 
    5 : UART3_TX 
    6 : PWR_SPINOR1_HOLD_X (default)
    7 : PWM[5] 
    Others : Reserved",
40,SD1_D1,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_D1
0x0502_7040","FMUX_GPIO_REG_IOCTRL_SD1_D1
0x0300_1094",0x6,"IO SD1_D1 function select : 
    0 : PWR_SD1_D1 
    1 : IIC1_SDA 
    2 : UART2_RX 
    3 : PWR_GPIO[20] 
    4 : CAM_MCLK1 
    5 : UART3_RX 
    6 : PWR_SPINOR1_WP_X (default)
    7 : PWM[6] 
    Others : Reserved",
41,SD1_D0,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_D0
0x0502_7044","FMUX_GPIO_REG_IOCTRL_SD1_D0
0x0300_1098",0x6,"IO SD1_D0 function select : 
    0 : PWR_SD1_D0 
    1 : SPI2_SDI 
    2 : IIC1_SDA 
    3 : PWR_GPIO[21] 
    4 : CAM_MCLK1 
    5 : UART3_RTS 
    6 : PWR_SPINOR1_MISO (default)
    7 : PWM[7] 
    Others : Reserved",
42,SD1_CMD,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_CMD
0x0502_7048","FMUX_GPIO_REG_IOCTRL_SD1_CMD
0x0300_109c",0x6,"IO SD1_CMD function select : 
    0 : PWR_SD1_CMD 
    1 : SPI2_SDO 
    2 : IIC3_SCL 
    3 : PWR_GPIO[22] 
    4 : CAM_VS0 
    5 : EPHY_LNK_LED 
    6 : PWR_SPINOR1_MOSI (default)
    7 : PWM[8] 
    Others : Reserved",
43,SD1_CLK,18OD33 IO,GRTC,VDD33A_ETH_USB_SD1,"IOBLK_GRTC_REG_SD1_CLK
0x0502_704c","FMUX_GPIO_REG_IOCTRL_SD1_CLK
0x0300_10a0",0x6,"IO SD1_CLK function select : 
    0 : PWR_SD1_CLK 
    1 : SPI2_SCK 
    2 : IIC3_SDA 
    3 : PWR_GPIO[23] 
    4 : CAM_HS0 
    5 : EPHY_SPD_LED 
    6 : PWR_SPINOR1_SCK (default)
    7 : PWM[9] 
    Others : Reserved",
44,ADC1,1.8V GPIO,G1,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G1_REG_ADC1
0x0300_1804","FMUX_GPIO_REG_IOCTRL_ADC1
0x0300_10a8",0x3,"IO ADC1 function select : 
    3 : XGPIOB[3] (default)
    4 : KEY_COL2 
    6 : PWM[3] 
    Others : Reserved",
45,USB_VBUS_DET,1.8V GPIO,G1,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G1_REG_USB_VBUS_DET
0x0300_1808","FMUX_GPIO_REG_IOCTRL_USB_VBUS_DET
0x0300_10ac",0x0,"IO USB_VBUS_DET function select : 
    0 : USB_VBUS_DET (default)
    3 : XGPIOB[6] 
    4 : CAM_MCLK0 
    5 : CAM_MCLK1 
    6 : PWM[4] 
    Others : Reserved",
47,PAD_ETH_TXP___EPHY_RXN,"ETH GPIO
(1.8V)",G12,VDD18A_USB_PLL_ETH_CSI,#N/A,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_TXP
0x0300_10c0",0x3,"IO PAD_ETH_TXP function select : 
    1 : UART3_RX 
    2 : IIC1_SCL 
    3 : XGPIOB[25] (default)
    4 : PWM[13] 
    5 : CAM_MCLK0 
    6 : SPI1_SDO 
    7 : IIS2_LRCK 
    Others : Reserved",
48,PAD_ETH_TXM___EPHY_RXP,"ETH GPIO
(1.8V)",G12,VDD18A_USB_PLL_ETH_CSI,#N/A,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_TXM
0x0300_10c4",0x3,"IO PAD_ETH_TXM function select : 
    1 : UART3_RTS 
    2 : IIC1_SDA 
    3 : XGPIOB[24] (default)
    4 : PWM[12] 
    5 : CAM_MCLK1 
    6 : SPI1_SDI 
    7 : IIS2_BCLK 
    Others : Reserved",
49,PAD_ETH_RXP___EPHY_TXN,"ETH GPIO
(1.8V)",G12,VDD18A_USB_PLL_ETH_CSI,#N/A,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_RXP
0x0300_10c8",0x3,"IO PAD_ETH_RXP function select : 
    1 : UART3_TX 
    2 : CAM_MCLK1 
    3 : XGPIOB[27] (default)
    4 : PWM[15] 
    5 : CAM_HS0 
    6 : SPI1_SCK 
    7 : IIS2_DO 
    Others : Reserved",
50,PAD_ETH_RXM___EPHY_TXP,"ETH GPIO
(1.8V)",G12,VDD18A_USB_PLL_ETH_CSI,#N/A,"FMUX_GPIO_REG_IOCTRL_PAD_ETH_RXM
0x0300_10cc",0x3,"IO PAD_ETH_RXM function select : 
    1 : UART3_CTS 
    2 : CAM_MCLK0 
    3 : XGPIOB[26] (default)
    4 : PWM[14] 
    5 : CAM_VS0 
    6 : SPI1_CS_X 
    7 : IIS2_DI 
    Others : Reserved",
56,PAD_MIPIRX4N,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX4N
0x0300_1C04","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX4N
0x0300_10d4",0x2,"IO PAD_MIPIRX4N function select : 
    1 : VI0_CLK 
    2 : IIC0_SCL (default)
    3 : XGPIOC[2] 
    4 : IIC1_SDA 
    5 : CAM_MCLK0 
    6 : KEY_ROW0 
    7 : MUX_SPI1_SCK 
    Others : Reserved",
57,PAD_MIPIRX4P,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX4P
0x0300_1C08","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX4P
0x0300_10d8",0x2,"IO PAD_MIPIRX4P function select : 
    1 : VI0_D[0] 
    2 : IIC0_SDA  (default)
    3 : XGPIOC[3] 
    4 : IIC1_SCL 
    5 : CAM_MCLK1 
    6 : KEY_ROW1 
    7 : MUX_SPI1_CS 
    Others : Reserved",
58,PAD_MIPIRX3N,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX3N
0x0300_1C0c","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX3N
0x0300_10dc",0x3,"IO PAD_MIPIRX3N function select : 
    1 : VI0_D[1] 
    3 : XGPIOC[4] (default)
    4 : CAM_MCLK0 
    7 : MUX_SPI1_MISO 
    Others : Reserved",
59,PAD_MIPIRX3P,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX3P
0x0300_1C10","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX3P
0x0300_10e0",0x3,"IO PAD_MIPIRX3P function select : 
    1 : VI0_D[2] 
    3 : XGPIOC[5] (default)
    7 : MUX_SPI1_MOSI 
    Others : Reserved",
60,PAD_MIPIRX2N,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX2N
0x0300_1C14","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2N
0x0300_10e4",0x3,"IO PAD_MIPIRX2N function select : 
    1 : VI0_D[3] 
    3 : XGPIOC[6] (default)
    5 : IIC4_SCL 
    7 : DBG[6] 
    Others : Reserved",
61,PAD_MIPIRX2P,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX2P
0x0300_1C18","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2P
0x0300_10e8",0x3,"IO PAD_MIPIRX2P function select : 
    1 : VI0_D[4] 
    3 : XGPIOC[7] (default)
    5 : IIC4_SDA 
    7 : DBG[7] 
    Others : Reserved",
62,PAD_MIPIRX1N,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX1N
0x0300_1C1c","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1N
0x0300_10ec",0x3,"IO PAD_MIPIRX1N function select : 
    1 : VI0_D[5] 
    3 : XGPIOC[8] (default)
    6 : KEY_ROW3 
    7 : DBG[8] 
    Others : Reserved",
63,PAD_MIPIRX1P,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX1P
0x0300_1C20","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1P
0x0300_10f0",0x3,"IO PAD_MIPIRX1P function select : 
    1 : VI0_D[6] 
    3 : XGPIOC[9] (default)
    4 : IIC1_SDA 
    6 : KEY_ROW2 
    7 : DBG[9] 
    Others : Reserved",
64,PAD_MIPIRX0N,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX0N
0x0300_1C24","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX0N
0x0300_10f4",0x3,"IO PAD_MIPIRX0N function select : 
    1 : VI0_D[7] 
    3 : XGPIOC[10] (default)
    4 : IIC1_SCL 
    5 : CAM_MCLK1 
    7 : DBG[10] 
    Others : Reserved",
65,PAD_MIPIRX0P,1.8V GPIO,G12,VDD18A_USB_PLL_ETH_CSI,"IOBLK_G12_REG_PAD_MIPIRX0P
0x0300_1C28","FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX0P
0x0300_10f8",0x3,"IO PAD_MIPIRX0P function select : 
    1 : VI0_D[8] 
    3 : XGPIOC[11] (default)
    4 : CAM_MCLK0 
    7 : DBG[11] 
    Others : Reserved",
67,PAD_AUD_AINL_MIC,"AUDIO GPIO 
(1.8V)",G12,VDD18A_AUD,#N/A,"FMUX_GPIO_REG_IOCTRL_PAD_AUD_AINL_MIC
0x0300_1120",0x3,"IO PAD_AUD_AINL_MIC function select : 
    3 : XGPIOC[23] (default)
    4 : IIS1_BCLK 
    5 : IIS2_BCLK 
    Others : Reserved",
1,PAD_AUD_AOUTR,"AUDIO GPIO 
(1.8V)",G12,VDD18A_AUD,#N/A,"FMUX_GPIO_REG_IOCTRL_PAD_AUD_AOUTR
0x0300_112c",0x3,"IO PAD_AUD_AOUTR function select : 
    3 : XGPIOC[24] (default)
    4 : IIS1_DI 
    5 : IIS2_DO 
    6 : IIS1_DO 
    Others : Reserved",
#N/A,MUX_SPI1_MISO,,,,#N/A,"FMUX_GPIO_REG_IOCTRL_MUX_SPI1_MISO
0x0300_10b0",0x3,"IO MUX_SPI1_MISO function select : 
    1 : UART3_RTS 
    2 : IIC1_SDA 
    3 : XGPIOB[8] (default)
    4 : PWM[9] 
    5 : KEY_COL1 
    6 : SPI1_SDI 
    7 : DBG[14] 
    Others : Reserved",Result is feed to PAD_MIPIRX3N func7
#N/A,MUX_SPI1_MOSI,,,,#N/A,"FMUX_GPIO_REG_IOCTRL_MUX_SPI1_MOSI
0x0300_10b4",0x3,"IO MUX_SPI1_MOSI function select : 
    1 : UART3_RX 
    2 : IIC1_SCL 
    3 : XGPIOB[7] (default)
    4 : PWM[8] 
    5 : KEY_COL0 
    6 : SPI1_SDO 
    7 : DBG[13] 
    Others : Reserved",Result is feed to PAD_MIPIRX3P func7
#N/A,MUX_SPI1_CS,,,,#N/A,"FMUX_GPIO_REG_IOCTRL_MUX_SPI1_CS
0x0300_10b8",0x3,"IO MUX_SPI1_CS function select : 
    1 : UART3_CTS 
    2 : CAM_MCLK0 
    3 : XGPIOB[10] (default)
    4 : PWM[11] 
    5 : KEY_ROW3 
    6 : SPI1_CS_X 
    7 : DBG[16] 
    Others : Reserved",Result is feed to PAD_MIPIRX4P func7
#N/A,MUX_SPI1_SCK,,,,#N/A,"FMUX_GPIO_REG_IOCTRL_MUX_SPI1_SCK
0x0300_10bc",0x3,"IO MUX_SPI1_SCK function select : 
    1 : UART3_TX 
    2 : CAM_MCLK1 
    3 : XGPIOB[9] (default)
    4 : PWM[10] 
    5 : KEY_ROW2 
    6 : SPI1_SCK 
    7 : DBG[15] 
    Others : Reserved",Result is feed to PAD_MIPIRX4N func7
#N/A,mux_uart0_ip_sel,,,,#N/A,"REG_DEVMATRIX_UART0_IP_SEL
0x0300_101d4",0x0,"pinlist UART0 from which IP
  0 : pinlist UART0 select UART IP 0 (default)
  1:  pinlist UART0 select UART IP 1
  2:  pinlist UART0 select UART IP 2
  3:  pinlist UART0 select UART IP 3
  4:  pinlist UART0 select UART IP 4",
#N/A,mux_uart1_ip_sel,,,,#N/A,"REG_DEVMATRIX_UART1_IP_SEL
0x0300_101d8",0x1,"pinlist UART1 from which IP
  0 : pinlist UART1 select UART IP 0
  1:  pinlist UART1 select UART IP 1 (default)
  2:  pinlist UART1 select UART IP 2
  3:  pinlist UART1 select UART IP 3
  4:  pinlist UART1 select UART IP 4",
#N/A,mux_uart2_ip_sel,,,,#N/A,"REG_DEVMATRIX_UART2_IP_SEL
0x0300_101dC",0x2,"pinlist UART2 from which IP
  0 : pinlist UART2 select UART IP 0
  1:  pinlist UART2 select UART IP 1
  2:  pinlist UART2 select UART IP 2 (default)
  3:  pinlist UART2 select UART IP 3
  4:  pinlist UART2 select UART IP 4",
#N/A,mux_uart3_ip_sel,,,,#N/A,"REG_DEVMATRIX_UART3_IP_SEL
0x0300_101e0",0x3,"pinlist UART3 from which IP
  0 : pinlist UART3 select UART IP 0
  1:  pinlist UART3 select UART IP 1
  2:  pinlist UART3 select UART IP 2
  3:  pinlist UART3 select UART IP 3 (default)
  4:  pinlist UART3 select UART IP 4",
#N/A,mux_uart4_ip_sel,,,,#N/A,"REG_DEVMATRIX_UART4_IP_SEL
0x0300_101e4",0x4,"pinlist UART4 from which IP
  0 : pinlist UART4 select UART IP 0
  1:  pinlist UART4 select UART IP 1
  2:  pinlist UART4 select UART IP 2
  3:  pinlist UART4 select UART IP 3
  4:  pinlist UART4 select UART IP 4 (default)",
