Pin Num,Pin Name,IO Type,IOGroup,PowerDomain,IO_cfg_register,"Function_select
_register","fmux_
default",Description,Note
K3,SD0_D1,18OD33 IO,G10,VDDIO_SD0,"IOBLK_G10_REG_SD0_D1
0x0300_1A0C","FMUX_GPIO_REG_IOCTRL_SD0_D1
0x0300_1028",0x0,"IO SD0_D1 function select : _x000D_
    0 : SDIO0_D[1] (default)_x000D_
    1 : IIC1_SDA _x000D_
    2 : AUX0 _x000D_
    3 : XGPIOA[10] _x000D_
    4 : UART1_TX _x000D_
    5 : PWM[12] _x000D_
    6 : WG0_D1 _x000D_
    7 : DBG[3] _x000D_
    Others : Reserved",
M2,SD0_D2,18OD33 IO,G10,VDDIO_SD0,"IOBLK_G10_REG_SD0_D2
0x0300_1A10","FMUX_GPIO_REG_IOCTRL_SD0_D2
0x0300_102C",0x0,"IO SD0_D2 function select : _x000D_
    0 : SDIO0_D[2] (default)_x000D_
    1 : IIC1_SCL _x000D_
    2 : AUX1 _x000D_
    3 : XGPIOA[11] _x000D_
    4 : UART1_RX _x000D_
    5 : PWM[11] _x000D_
    6 : WG1_D0 _x000D_
    7 : DBG[4] _x000D_
    Others : Reserved",
M1,SD0_D3,18OD33 IO,G10,VDDIO_SD0,"IOBLK_G10_REG_SD0_D3
0x0300_1A14","FMUX_GPIO_REG_IOCTRL_SD0_D3
0x0300_1030",0x0,"IO SD0_D3 function select : _x000D_
    0 : SDIO0_D[3] (default)_x000D_
    1 : CAM_MCLK0 _x000D_
    2 : SPI0_CS_X _x000D_
    3 : XGPIOA[12] _x000D_
    4 : UART3_RX _x000D_
    5 : PWM[10] _x000D_
    6 : WG1_D1 _x000D_
    7 : DBG[5] _x000D_
    Others : Reserved",
K2,SD0_CD,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_SD0_CD
0x0300_1900","FMUX_GPIO_REG_IOCTRL_SD0_CD
0x0300_1034",0x0,"IO SD0_CD function select : _x000D_
    0 : SDIO0_CD (default)_x000D_
    3 : XGPIOA[13] _x000D_
    Others : Reserved",
N1,SD0_PWR_EN,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_SD0_PWR_EN
0x0300_1904","FMUX_GPIO_REG_IOCTRL_SD0_PWR_EN
0x0300_1038",0x3,"IO SD0_PWR_EN function select : _x000D_
    0 : SDIO0_PWR_EN _x000D_
    3 : XGPIOA[14] (default)_x000D_
    Others : Reserved",
N3,SPK_EN,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_SPK_EN
0x0300_1908","FMUX_GPIO_REG_IOCTRL_SPK_EN
0x0300_103C",0x3,"IO SPK_EN function select : _x000D_
    3 : XGPIOA[15] (default)_x000D_
    Others : Reserved",
M5,UART0_TX,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_UART0_TX
0x0300_190C","FMUX_GPIO_REG_IOCTRL_UART0_TX
0x0300_1040",0x0,"IO UART0_TX function select : _x000D_
    0 : UART0_TX (default)_x000D_
    1 : CAM_MCLK1 _x000D_
    2 : PWM[4] _x000D_
    3 : XGPIOA[16] _x000D_
    4 : UART1_TX _x000D_
    5 : AUX1 _x000D_
    7 : DBG[6] _x000D_
    Others : Reserved",
M4,UART0_RX,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_UART0_RX
0x0300_1910","FMUX_GPIO_REG_IOCTRL_UART0_RX
0x0300_1044",0x0,"IO UART0_RX function select : _x000D_
    0 : UART0_RX (default)_x000D_
    1 : CAM_MCLK0 _x000D_
    2 : PWM[5] _x000D_
    3 : XGPIOA[17] _x000D_
    4 : UART1_RX _x000D_
    5 : AUX0 _x000D_
    7 : DBG[7] _x000D_
    Others : Reserved",
P4,EMMC_RSTN,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_EMMC_RSTN
0x0300_1914","FMUX_GPIO_REG_IOCTRL_EMMC_RSTN
0x0300_1048",0x0,"IO EMMC_RSTN function select : _x000D_
    0 : EMMC_RSTN (default)_x000D_
    3 : XGPIOA[21] _x000D_
    4 : AUX2 _x000D_
    Others : Reserved",
P3,EMMC_DAT2,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_EMMC_DAT2
0x0300_1918","FMUX_GPIO_REG_IOCTRL_EMMC_DAT2
0x0300_104C",0x1,"IO EMMC_DAT2 function select : _x000D_
    0 : EMMC_DAT[2] _x000D_
    1 : SPINOR_HOLD_X (default)_x000D_
    2 : SPINAND_HOLD _x000D_
    3 : XGPIOA[26] _x000D_
    Others : Reserved",
R4,EMMC_CLK,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_EMMC_CLK
0x0300_191C","FMUX_GPIO_REG_IOCTRL_EMMC_CLK
0x0300_1050",0x1,"IO EMMC_CLK function select : _x000D_
    0 : EMMC_CLK _x000D_
    1 : SPINOR_SCK (default)_x000D_
    2 : SPINAND_CLK _x000D_
    3 : XGPIOA[22] _x000D_
    Others : Reserved",
P2,EMMC_DAT0,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_EMMC_DAT0
0x0300_1920","FMUX_GPIO_REG_IOCTRL_EMMC_DAT0
0x0300_1054",0x1,"IO EMMC_DAT0 function select : _x000D_
    0 : EMMC_DAT[0] _x000D_
    1 : SPINOR_MOSI (default)_x000D_
    2 : SPINAND_MOSI _x000D_
    3 : XGPIOA[25] _x000D_
    Others : Reserved",
P1,EMMC_DAT3,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_EMMC_DAT3
0x0300_1924","FMUX_GPIO_REG_IOCTRL_EMMC_DAT3
0x0300_1058",0x1,"IO EMMC_DAT3 function select : _x000D_
    0 : EMMC_DAT[3] _x000D_
    1 : SPINOR_WP_X (default)_x000D_
    2 : SPINAND_WP _x000D_
    3 : XGPIOA[27] _x000D_
    Others : Reserved",
R3,EMMC_CMD,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_EMMC_CMD
0x0300_1928","FMUX_GPIO_REG_IOCTRL_EMMC_CMD
0x0300_105C",0x1,"IO EMMC_CMD function select : _x000D_
    0 : EMMC_CMD _x000D_
    1 : SPINOR_MISO (default)_x000D_
    2 : SPINAND_MISO _x000D_
    3 : XGPIOA[23] _x000D_
    Others : Reserved",
R2,EMMC_DAT1,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_EMMC_DAT1
0x0300_192C","FMUX_GPIO_REG_IOCTRL_EMMC_DAT1
0x0300_1060",0x1,"IO EMMC_DAT1 function select : _x000D_
    0 : EMMC_DAT[1] _x000D_
    1 : SPINOR_CS_X (default)_x000D_
    2 : SPINAND_CS _x000D_
    3 : XGPIOA[24] _x000D_
    Others : Reserved",
N6,JTAG_CPU_TMS,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_JTAG_CPU_TMS
0x0300_1930","FMUX_GPIO_REG_IOCTRL_JTAG_CPU_TMS
0x0300_1064",0x0,"IO JTAG_CPU_TMS function select : 
    0 : CR_4WTMS (default)
    1 : CAM_MCLK0 
    2 : PWM[7] 
    3 : XGPIOA[19] 
    4 : UART1_RTS 
    5 : AUX0 
    6 : UART1_TX 
    7 : VO_D[28] 
    Others : Reserved",
N4,JTAG_CPU_TCK,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_JTAG_CPU_TCK
0x0300_1934","FMUX_GPIO_REG_IOCTRL_JTAG_CPU_TCK
0x0300_1068",0x0,"IO JTAG_CPU_TCK function select : 
    0 : CR_4WTCK (default)
    1 : CAM_MCLK1 
    2 : PWM[6] 
    3 : XGPIOA[18] 
    4 : UART1_CTS 
    5 : AUX1 
    6 : UART1_RX 
    7 : VO_D[29] 
    Others : Reserved",
M6,JTAG_CPU_TRST,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_JTAG_CPU_TRST
0x0300_1938","FMUX_GPIO_REG_IOCTRL_JTAG_CPU_TRST
0x0300_106C",0x0,"IO JTAG_CPU_TRST function select : _x000D_
    0 : JTAG_CPU_TRST (default)_x000D_
    3 : XGPIOA[20] _x000D_
    6 : VO_D[30] _x000D_
    Others : Reserved",
R6,IIC0_SCL,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_IIC0_SCL
0x0300_193C","FMUX_GPIO_REG_IOCTRL_IIC0_SCL
0x0300_1070",0x0,"IO IIC0_SCL function select : 
    0 : CR_4WTDI (default)
    1 : UART1_TX 
    2 : UART2_TX 
    3 : XGPIOA[28] 
    5 : WG0_D0 
    7 : DBG[10] 
    Others : Reserved",
P6,IIC0_SDA,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_IIC0_SDA
0x0300_1940","FMUX_GPIO_REG_IOCTRL_IIC0_SDA
0x0300_1074",0x0,"IO IIC0_SDA function select : 
    0 : CR_4WTDO (default)
    1 : UART1_RX 
    2 : UART2_RX 
    3 : XGPIOA[29] 
    5 : WG0_D1 
    6 : WG1_D0 
    7 : DBG[11] 
    Others : Reserved",
P5,AUX0,18OD33 IO,G7,VDDIO_EMMC,"IOBLK_G7_REG_AUX0
0x0300_1944","FMUX_GPIO_REG_IOCTRL_AUX0
0x0300_1078",0x3,"IO AUX0 function select : _x000D_
    0 : AUX0 _x000D_
    3 : XGPIOA[30] (default)_x000D_
    4 : IIS1_MCLK _x000D_
    5 : VO_D[31] _x000D_
    6 : WG1_D1 _x000D_
    7 : DBG[12] _x000D_
    Others : Reserved",
P11,PWR_VBAT_DET,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_VBAT_DET
0x0502_7000","FMUX_GPIO_REG_IOCTRL_PWR_VBAT_DET
0x0300_107C",0x0,"IO PWR_VBAT_DET function select : _x000D_
    0 : PWR_VBAT_DET (default)_x000D_
    Others : Reserved",
R11,PWR_RSTN,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_RSTN
0x0502_7004","FMUX_GPIO_REG_IOCTRL_PWR_RSTN
0x0300_1080",0x0,"IO PWR_RSTN function select : _x000D_
    0 : PWR_RSTN (default)_x000D_
    Others : Reserved",
P12,PWR_SEQ1,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_SEQ1
0x0502_7008","FMUX_GPIO_REG_IOCTRL_PWR_SEQ1
0x0300_1084",0x0,"IO PWR_SEQ1 function select : _x000D_
    0 : PWR_SEQ1 (default)_x000D_
    3 : PWR_GPIO[3] _x000D_
    Others : Reserved",
R12,PWR_SEQ2,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_SEQ2
0x0502_700C","FMUX_GPIO_REG_IOCTRL_PWR_SEQ2
0x0300_1088",0x0,"IO PWR_SEQ2 function select : _x000D_
    0 : PWR_SEQ2 (default)_x000D_
    3 : PWR_GPIO[4] _x000D_
    Others : Reserved",
P10,PWR_SEQ3,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_SEQ3
0x0502_7010","FMUX_GPIO_REG_IOCTRL_PWR_SEQ3
0x0300_108C",0x0,"IO PWR_SEQ3 function select : _x000D_
    0 : PWR_SEQ3 (default)_x000D_
    3 : PWR_GPIO[5] _x000D_
    Others : Reserved",
N12,PWR_WAKEUP0,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_WAKEUP0
0x0502_7018","FMUX_GPIO_REG_IOCTRL_PWR_WAKEUP0
0x0300_1090",0x0,"IO PWR_WAKEUP0 function select : _x000D_
    0 : PWR_WAKEUP0 (default)_x000D_
    1 : PWR_IR0 _x000D_
    2 : PWR_UART0_TX _x000D_
    3 : PWR_GPIO[6] _x000D_
    4 : UART1_TX _x000D_
    5 : IIC4_SCL _x000D_
    6 : EPHY_LNK_LED _x000D_
    7 : WG2_D0 _x000D_
    Others : Reserved",
N11,PWR_WAKEUP1,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_WAKEUP1
0x0502_701C","FMUX_GPIO_REG_IOCTRL_PWR_WAKEUP1
0x0300_1094",0x0,"IO PWR_WAKEUP1 function select : _x000D_
    0 : PWR_WAKEUP1 (default)_x000D_
    1 : PWR_IR1 _x000D_
    3 : PWR_GPIO[7] _x000D_
    4 : UART1_TX _x000D_
    5 : IIC4_SCL _x000D_
    6 : EPHY_LNK_LED _x000D_
    7 : WG0_D0 _x000D_
    Others : Reserved",
P13,PWR_BUTTON1,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_BUTTON1
0x0502_7020","FMUX_GPIO_REG_IOCTRL_PWR_BUTTON1
0x0300_1098",0x0,"IO PWR_BUTTON1 function select : _x000D_
    0 : PWR_BUTTON1 (default)_x000D_
    3 : PWR_GPIO[8] _x000D_
    4 : UART1_RX _x000D_
    5 : IIC4_SDA _x000D_
    6 : EPHY_SPD_LED _x000D_
    7 : WG2_D1 _x000D_
    Others : Reserved",
M11,PWR_ON,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_ON
0x0502_7024","FMUX_GPIO_REG_IOCTRL_PWR_ON
0x0300_109C",0x0,"IO PWR_ON function select : _x000D_
    0 : PWR_ON (default)_x000D_
    3 : PWR_GPIO[9] _x000D_
    4 : UART1_RX _x000D_
    5 : IIC4_SDA _x000D_
    6 : EPHY_SPD_LED _x000D_
    7 : WG0_D1 _x000D_
    Others : Reserved",
R13,XTAL_XIN,Xtal,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_XTAL_XIN
0x0502_7028","FMUX_GPIO_REG_IOCTRL_XTAL_XIN
0x0300_10A0",0x0,"IO XTAL_XIN function select : _x000D_
    0 : PWR_XTAL_CLKIN (default)_x000D_
    Others : Reserved",
M13,PWR_GPIO0,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_GPIO0
0x0502_702C","FMUX_GPIO_REG_IOCTRL_PWR_GPIO0
0x0300_10A4",0x0,"IO PWR_GPIO0 function select : _x000D_
    0 : PWR_GPIO[0] (default)_x000D_
    1 : UART2_TX _x000D_
    2 : PWR_UART0_RX _x000D_
    4 : PWM[8] _x000D_
    Others : Reserved",
N13,PWR_GPIO1,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_GPIO1
0x0502_7030","FMUX_GPIO_REG_IOCTRL_PWR_GPIO1
0x0300_10A8",0x0,"IO PWR_GPIO1 function select : 
    0 : PWR_GPIO[1] (default)
    1 : UART2_RX 
    3 : EPHY_LNK_LED 
    4 : PWM[9] 
    5 : PWR_IIC_SCL 
    6 : IIC2_SCL 
    7 : CR_SDA0 
    Others : Reserved",
M12,PWR_GPIO2,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_PWR_GPIO2
0x0502_7034","FMUX_GPIO_REG_IOCTRL_PWR_GPIO2
0x0300_10AC",0x0,"IO PWR_GPIO2 function select : 
    0 : PWR_GPIO[2] (default)
    2 : PWR_SECTICK 
    3 : EPHY_SPD_LED 
    4 : PWM[10] 
    5 : PWR_IIC_SDA 
    6 : IIC2_SDA 
    7 : CR_2WTCK 
    Others : Reserved",
L14,CLK32K,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_CLK32K
0x0502_7038","FMUX_GPIO_REG_IOCTRL_CLK32K
0x0300_10B0",0x0,"IO CLK32K function select : 
    0 : CLK32K (default)
    1 : AUX0 
    2 : CR_SCL0 
    3 : PWR_GPIO[10] 
    4 : PWM[2] 
    5 : KEY_COL0 
    6 : CAM_MCLK0 
    7 : DBG[0] 
    Others : Reserved",
M14,CLK25M,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_CLK25M
0x0502_703C","FMUX_GPIO_REG_IOCTRL_CLK25M
0x0300_10B4",0x0,"IO CLK25M function select : 
    0 : CLK25M (default)
    1 : AUX1 
    2 : CR_2WTMS 
    3 : PWR_GPIO[11] 
    4 : PWM[3] 
    5 : KEY_COL1 
    6 : CAM_MCLK1 
    7 : DBG[1] 
    Others : Reserved",
J13,IIC2_SCL,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_IIC2_SCL
0x0502_7040","FMUX_GPIO_REG_IOCTRL_IIC2_SCL
0x0300_10B8",0x3,"IO IIC2_SCL function select : _x000D_
    0 : IIC2_SCL _x000D_
    1 : PWM[14] _x000D_
    3 : PWR_GPIO[12] (default)_x000D_
    4 : UART2_RX _x000D_
    7 : KEY_COL2 _x000D_
    Others : Reserved",
J14,IIC2_SDA,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_IIC2_SDA
0x0502_7044","FMUX_GPIO_REG_IOCTRL_IIC2_SDA
0x0300_10BC",0x3,"IO IIC2_SDA function select : _x000D_
    0 : IIC2_SDA _x000D_
    1 : PWM[15] _x000D_
    3 : PWR_GPIO[13] (default)_x000D_
    4 : UART2_TX _x000D_
    5 : IIS1_MCLK _x000D_
    6 : IIS2_MCLK _x000D_
    7 : KEY_COL3 _x000D_
    Others : Reserved",
K15,UART2_TX,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_UART2_TX
0x0502_7048","FMUX_GPIO_REG_IOCTRL_UART2_TX
0x0300_10C0",0x3,"IO UART2_TX function select : _x000D_
    0 : UART2_TX _x000D_
    1 : PWM[11] _x000D_
    2 : PWR_UART1_TX _x000D_
    3 : PWR_GPIO[14] (default)_x000D_
    4 : KEY_ROW3 _x000D_
    5 : UART4_TX _x000D_
    6 : IIS2_BCLK _x000D_
    7 : WG2_D0 _x000D_
    Others : Reserved",
L15,UART2_RTS,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_UART2_RTS
0x0502_704C","FMUX_GPIO_REG_IOCTRL_UART2_RTS
0x0300_10C4",0x3,"IO UART2_RTS function select : _x000D_
    0 : UART2_RTS _x000D_
    1 : PWM[8] _x000D_
    3 : PWR_GPIO[15] (default)_x000D_
    4 : KEY_ROW0 _x000D_
    5 : UART4_RTS _x000D_
    6 : IIS2_DO _x000D_
    7 : WG1_D0 _x000D_
    Others : Reserved",
K13,UART2_RX,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_UART2_RX
0x0502_7050","FMUX_GPIO_REG_IOCTRL_UART2_RX
0x0300_10C8",0x3,"IO UART2_RX function select : _x000D_
    0 : UART2_RX _x000D_
    1 : PWM[10] _x000D_
    2 : PWR_UART1_RX _x000D_
    3 : PWR_GPIO[16] (default)_x000D_
    4 : KEY_COL3 _x000D_
    5 : UART4_RX _x000D_
    6 : IIS2_DI _x000D_
    7 : WG2_D1 _x000D_
    Others : Reserved",
K14,UART2_CTS,1.8V GPIO,GRTC,VDDIO_RTC,"IOBLK_GRTC_REG_UART2_CTS
0x0502_7054","FMUX_GPIO_REG_IOCTRL_UART2_CTS
0x0300_10CC",0x3,"IO UART2_CTS function select : _x000D_
    0 : UART2_CTS _x000D_
    1 : PWM[9] _x000D_
    3 : PWR_GPIO[17] (default)_x000D_
    4 : KEY_ROW1 _x000D_
    5 : UART4_CTS _x000D_
    6 : IIS2_LRCK _x000D_
    7 : WG1_D1 _x000D_
    Others : Reserved",
G13,SD1_D3,18OD33 IO,GRTC,VDDIO_SD1,"IOBLK_GRTC_REG_SD1_D3
0x0502_7058","FMUX_GPIO_REG_IOCTRL_SD1_D3
0x0300_10D0",0x6,"IO SD1_D3 function select : _x000D_
    0 : PWR_SD1_D3_VO32 _x000D_
    1 : SPI2_CS_X _x000D_
    2 : IIC1_SCL _x000D_
    3 : PWR_GPIO[18] _x000D_
    4 : CAM_MCLK0 _x000D_
    5 : UART3_CTS _x000D_
    6 : PWR_SPINOR1_CS_X (default)_x000D_
    7 : PWM[4] _x000D_
    Others : Reserved","SD1_D3 or VO[32]
Check 0x0502_70E4"
F14,SD1_D2,18OD33 IO,GRTC,VDDIO_SD1,"IOBLK_GRTC_REG_SD1_D2
0x0502_705C","FMUX_GPIO_REG_IOCTRL_SD1_D2
0x0300_10D4",0x6,"IO SD1_D2 function select : _x000D_
    0 : PWR_SD1_D2_VO33 _x000D_
    1 : IIC1_SCL _x000D_
    2 : UART2_TX _x000D_
    3 : PWR_GPIO[19] _x000D_
    4 : CAM_MCLK0 _x000D_
    5 : UART3_TX _x000D_
    6 : PWR_SPINOR1_HOLD_X (default)_x000D_
    7 : PWM[5] _x000D_
    Others : Reserved","SD1_D2 or VO[33]
Check 0x0502_70E4"
H14,SD1_D1,18OD33 IO,GRTC,VDDIO_SD1,"IOBLK_GRTC_REG_SD1_D1
0x0502_7060","FMUX_GPIO_REG_IOCTRL_SD1_D1
0x0300_10D8",0x6,"IO SD1_D1 function select : _x000D_
    0 : PWR_SD1_D1_VO34 _x000D_
    1 : IIC1_SDA _x000D_
    2 : UART2_RX _x000D_
    3 : PWR_GPIO[20] _x000D_
    4 : CAM_MCLK1 _x000D_
    5 : UART3_RX _x000D_
    6 : PWR_SPINOR1_WP_X (default)_x000D_
    7 : PWM[6] _x000D_
    Others : Reserved","SD1_D1 or VO[34]
Check 0x0502_70E4"
H15,SD1_D0,18OD33 IO,GRTC,VDDIO_SD1,"IOBLK_GRTC_REG_SD1_D0
0x0502_7064","FMUX_GPIO_REG_IOCTRL_SD1_D0
0x0300_10DC",0x6,"IO SD1_D0 function select : _x000D_
    0 : PWR_SD1_D0_VO35 _x000D_
    1 : SPI2_SDI _x000D_
    2 : IIC1_SDA _x000D_
    3 : PWR_GPIO[21] _x000D_
    4 : CAM_MCLK1 _x000D_
    5 : UART3_RTS _x000D_
    6 : PWR_SPINOR1_MISO (default)_x000D_
    7 : PWM[7] _x000D_
    Others : Reserved","SD1_D0 or VO[35]
Check 0x0502_70E4"
G15,SD1_CMD,18OD33 IO,GRTC,VDDIO_SD1,"IOBLK_GRTC_REG_SD1_CMD
0x0502_7068","FMUX_GPIO_REG_IOCTRL_SD1_CMD
0x0300_10E0",0x6,"IO SD1_CMD function select : _x000D_
    0 : PWR_SD1_CMD_VO36 _x000D_
    1 : SPI2_SDO _x000D_
    2 : IIC3_SCL _x000D_
    3 : PWR_GPIO[22] _x000D_
    4 : CAM_VS0 _x000D_
    5 : EPHY_LNK_LED _x000D_
    6 : PWR_SPINOR1_MOSI (default)_x000D_
    7 : PWM[8] _x000D_
    Others : Reserved","SD1_CMD or VO[36]
Check 0x0502_70E4"
G14,SD1_CLK,18OD33 IO,GRTC,VDDIO_SD1,"IOBLK_GRTC_REG_SD1_CLK
0x0502_706C","FMUX_GPIO_REG_IOCTRL_SD1_CLK
0x0300_10E4",0x6,"IO SD1_CLK function select : _x000D_
    0 : PWR_SD1_CLK_VO37 _x000D_
    1 : SPI2_SCK _x000D_
    2 : IIC3_SDA _x000D_
    3 : PWR_GPIO[23] _x000D_
    4 : CAM_HS0 _x000D_
    5 : EPHY_SPD_LED _x000D_
    6 : PWR_SPINOR1_SCK (default)_x000D_
    7 : PWM[9] _x000D_
    Others : Reserved","SD1_CLK or VO[37]
Check 0x0502_70E4"
H12,RSTN,1.8V GPIO,G1,VDDIO18_1,"IOBLK_G1_REG_RSTN
0x0300_1800","FMUX_GPIO_REG_IOCTRL_RSTN
0x0300_10E8",0x0,"IO RSTN function select : _x000D_
    0 : RSTN (default)_x000D_
    Others : Reserved",
